Time (h)	GUR	mu
7.94	-1.009784585	0.130914621
7.95	-1.008540521	0.130659689
7.96	-1.007299811	0.130405265
7.97	-1.00606244	0.130151348
7.98	-1.004828395	0.129897937
7.99	-1.003597664	0.12964503
8	-1.002370231	0.129392626
8.01	-1.001146084	0.129140722
8.02	-0.999925211	0.128889318
8.03	-0.998707597	0.128638412
8.04	-0.997493229	0.128388003
8.05	-0.996282095	0.128138088
8.06	-0.995074182	0.127888666
8.07	-0.993869477	0.127639737
8.08	-0.992667966	0.127391298
8.09	-0.991469637	0.127143348
8.1	-0.990274478	0.126895885
8.11	-0.989082476	0.126648908
8.12	-0.987893617	0.126402416
8.13	-0.98670789	0.126156406
8.14	-0.985525283	0.125910879
8.15	-0.984345782	0.125665831
8.16	-0.983169375	0.125421262
8.17	-0.981996051	0.125177171
8.18	-0.980825796	0.124933555
